#
# Graph: ../as20graph.txt -> as20graph as20graph. A=0.001, K=10-1.5-100M, Cvr=10, SzFrc=0.001 G(6474, 13233) (Wed Jun 08 08:52:26 2011)
#
# k (number of nodes in the cluster)	ORIGINAL MIN (6474, 13233)
1	1
2	0.333333
3	0.2
4	0.142857
5	0.111111
6	0.166667
7	0.142857
8	0.125
9	0.157895
10	0.1
11	0.166667
12	0.12
13	0.111111
14	0.103448
15	0.0967742
16	0.117647
17	0.135135
18	0.105263
19	0.121951
20	0.136364
21	0.183673
22	0.176471
23	0.169811
24	0.148148
25	0.127273
26	0.107143
27	0.0877193
28	0.0847458
29	0.0666667
30	0.0645161
31	0.117647
32	0.101449
33	0.0857143
34	0.0833333
35	0.160494
36	0.146341
37	0.13253
38	0.119048
39	0.105882
40	0.0930233
41	0.0804598
42	0.0786517
43	0.0769231
44	0.0752688
45	0.161905
46	0.150943
47	0.15
48	0.147541
49	0.145161
50	0.142857
51	0.144578
52	0.142857
53	0.146199
54	0.154286
55	0.160839
56	0.164384
57	0.165563
58	0.157895
59	0.160221
60	0.15736
61	0.15847
62	0.159574
63	0.157895
64	0.158974
65	0.153061
66	0.151515
67	0.141026
68	0.139241
69	0.132075
70	0.130435
71	0.128834
72	0.121951
73	0.120482
74	0.119048
75	0.117647
76	0.116279
77	0.114943
78	0.118644
79	0.117318
80	0.116022
81	0.114754
82	0.113514
83	0.112299
84	0.111111
85	0.109948
86	0.113402
87	0.121212
88	0.124378
89	0.127451
90	0.126214
91	0.129187
92	0.160584
93	0.156364
94	0.155235
95	0.151786
96	0.146667
97	0.141593
98	0.136564
99	0.131579
100	0.126638
101	0.121739
102	0.116883
103	0.123404
104	0.118644
105	0.118367
106	0.117409
107	0.116466
108	0.115538
109	0.114625
110	0.113725
111	0.11284
112	0.115385
113	0.114504
114	0.116981
116	0.122807
117	0.119534
118	0.116279
119	0.113043
120	0.108571
122	0.103448
123	0.102857
124	0.103064
125	0.1
126	0.0994475
128	0.100271
129	0.0997305
130	0.0991957
131	0.0986667
133	0.0961039
134	0.0956072
135	0.0974359
137	0.112219
138	0.111663
139	0.117647
141	0.11271
142	0.114286
144	0.117318
145	0.114206
147	0.112948
148	0.10989
149	0.111717
151	0.112903
153	0.111702
154	0.113456
156	0.11399
157	0.111111
159	0.109974
160	0.113924
162	0.114428
163	0.120988
166	0.133333
167	0.138889
169	0.140909
170	0.140271
172	0.150442
173	0.151648
175	0.156989
178	0.15444
179	0.153846
180	0.151052
182	0.154717
184	0.155624
186	0.156442
189	0.154887
190	0.153153
192	0.151786
194	0.155425
196	0.152047
198	0.149492
199	0.149059
201	0.153076
203	0.161744
206	0.164179
208	0.161184
209	0.162029
212	0.163166
215	0.162939
216	0.178462
219	0.175573
221	0.171994
222	0.173979
226	0.175595
227	0.179412
229	0.178363
232	0.178003
233	0.178161
236	0.19468
